0,"""  imagine being able say, you know what, no sanctions, no forever hearings on ieaa regulations, no more hiding\xa0under\xa0the pretense of friendly nuclear energy. \xa0you have 2 days to; \xa0i.e. \xa0let in the inspectors, quit killing the civilians, respect the border and rights of your neighboring country, \xa0or we ( whoever we are) will shut off your nuclear plant, your monitoring system and whatever else we fancy, like your water\xa0treatment\xa0plants and early warning sandstorm system and the traffic lights of all major cities...\xa0\nand yes..( pinky finger to lip edge) so your teenagers revolt and topple your regime... \xa0disconnect ... facebook.... buwhahjahahaha."  ""
0,"""  ""but jack from raleigh wasn't done. he came back with this bit of furious grammatical genius:""\n""holy hell, jack. calm down.""\n\ngod d@mn hilarious!\n\nwho writes your material grazid?  \n\nmm never even acknowledged we were here (well accept when uber ticked him off)  grazid not only interacts with us, he calls you dumb when you're being dumb... right beeaner?"  ""
0,"""  the star box allows you to link your comment to facebook and twitter. you can go to your profile and change settings. if you click back on yellow star it will return to grey"  ""
0,"""  cheney,rush,nugent.the list is endless."  ""
0,"""  obama....i'm blow'n mo smoke up you arses.....anyone wonder why the dem's as such sheep.... it must be some dna thing not to be able to do simple math.\\n\\ni just don't get it...."  ""
0,"""  why isn't the us, uk, france, germany, italy etc.\xa0taking these people in?\xa0 why is a country that's the size of new jersey (over 60% of which is desert), that was still a poor 3rd world country just 20 yrs ago, that already has unemployment problems expected to\xa0absorb 10s of 1000s (soon to be 100s of 1000s) of uneducated 3rd world refugees?\xa0 why don't you petition your govt to take in a few 1000 of these people?"  ""
1,"""  who told you that....stupid ask yourself who kick his daughter out of the house at the age 16.....when it's comes protecting weaman you guys the last ppl on earth who can open their mounths.."  ""
0,"""  glad you realize this :p\n\nkidding. "  ""
1,"""  you're an idiot baldo. "  ""
0,"""  call the vote. slap this bastard down in front of ""his people."" let this pimp/murderer/punk/liar peddle his toilet papers in hell."  ""
0,"""  i feel like you just tricked me into clicking that link again of shit i don't want to see.\n\nit's not appealing to everyone. i really don't want to have to look at this work and ponder the philips head screw indents of her nipples and why the artist made that decision. there isn't anything i personally can take away from that piece in terms of line art, color and composition,\xa0 that i cannot get from non fetish work. \n\nthis is a taste issue, not an art issue."  ""
1,"""  you show your stupidity and ignorance each and every day."  ""
1,"""  wait until you are a minority in your own rednecked country.\xa0 it will not be long now.\xa0 \xbfhabla usted espa\xf1ol?"  ""
0,"""  well you are special . (damnit clown )"  ""
0,"""  holy shit. \xa0son is droppin science."  ""
1,"""  its ""faggot"" you ignorant fuck plus what you trying to impress us with your girl scout club you dumb shit, fuck you, your faggot ass cousins, and fuck m.o.b. you stupid fuck! what is that a little gang full of wannabes cuz unless its a cartel you aint impressing shit! we butt fuck little bitches like you and your cousins down here and the chop you into pieces cuz your little club is not shit dumb mudafucka! "  ""
0,"""  how many more americans casualties were incurred after nixon took over? what about civilian casualties?"  ""
0,"""  jobs jobs jobs?\n\nrepublicans can approve infrastructure projects and put people to work   including eco friendly waterline updates.\n\nmore important to maintain failure apart then work together for success."  ""
1,"""  get thatdick outta your mouth so you can talk."  ""
0,"""  considering obama's preferred methods of dealing with prisoners, this may be the best way. i mean, we're not going to get any intel out of them anyway, and any that we do happen to get will be released to the msm immediately; letting the other bad guys know what we know,  so what's the point of capturing these a holes? might as well off them. when we get somebody sensible back in the white house then we can go back to capturing them.  you know, at the point when the soldier grabbing the goon doesn't have to worry about getting sued by the cretin who's being represented by one of barry's personal injury squad because he punched the murderous thug in the chops.     "  ""
0,"""  @blaine jungwirth @afrika bambaataa the efc is kind of bs for grad school   i went straight through, so they still looked at my parents resources. unfortunately, my college graduation present from pops was a firm handshake and the ""you\\'re a man now   you pay it for"" moment"  ""
0,"""  most bankruptcies take months or years to resolve.  gm's took a few days."  ""
0,"""  never mentioned race moron.  it's a high crime area no matter what race you might be...."  ""
1,"""  judging by your prior posts listed in your profile, you are a piece of foul white trash. what kind of animals raised you?"  ""
0,"""  lebron  is not weak he just doesnt hit free throws down the stretch, close out games, passes up the last shot and if he  is not up by 10 or more with 3mins left they lose he is considered the best reg season player but playoffs belong to kd and kobe every year"  ""
0,"""  fucking hot!!"  ""
0,"""  bullchit (using a scat phrase in your chittyhonor) obama and his handlers, namely axelrod, have incorporated bin llladen as a mythological enhancement to your communist hero's fading image.\xa0your are not only 'full of it', unhinged and repulsive, you are a liar."  ""
1,"""  ryan...........go back to sucking your mothers teat................boywonder"  ""
1,"""  your are an idiot"  ""
1,"""  very sorry i mentioned it.\xa0 just keep bitching here where you are sure it will amount to nothing."  ""
0,"""  thought it would be lung cancer!"  ""
